日期,星期,时段,半小时区间,天气,是否工作日,是否考试周,是否校园活动日,是否周末补课日,是否特殊情况,进店人数,A窗口销量,B窗口销量,C窗口销量,D窗口销量,E窗口销量,平均等待时间_分钟,开启A窗口数,开启B窗口数,开启C窗口数,开启D窗口数,开启E窗口数,备注
2026-02-23,周一,早餐,06:30-07:00,晴,1,0,0,0,0,87,33,12,3,10,29,1.53,2,1,0,1,2,
2026-02-23,周一,早餐,07:00-07:30,晴,1,0,0,0,0,129,49,19,4,15,42,1.25,2,1,0,1,2,
2026-02-23,周一,早餐,07:30-08:00,晴,1,0,0,0,0,126,47,19,4,15,41,1.69,2,1,0,1,2,
2026-02-23,周一,早餐,08:00-08:30,晴,1,0,0,0,0,76,27,12,2,10,25,1.19,2,1,0,1,2,
2026-02-23,周一,午餐,11:00-11:30,晴,1,0,0,0,0,169,28,64,37,24,16,2.3,2,3,2,1,1,
2026-02-23,周一,午餐,11:30-12:00,晴,1,0,0,0,0,296,50,111,66,43,26,2.8,2,3,2,1,1,
2026-02-23,周一,午餐,12:00-12:30,晴,1,0,0,0,0,263,40,101,58,38,26,2.03,2,3,2,1,1,
2026-02-23,周一,午餐,12:30-13:00,晴,1,0,0,0,0,173,28,63,39,23,20,3.07,2,3,2,1,1,
2026-02-23,周一,晚餐,17:00-17:30,晴,1,0,0,0,0,162,30,46,40,19,27,1.83,2,3,2,1,2,
2026-02-23,周一,晚餐,17:30-18:00,晴,1,0,0,0,0,242,45,68,56,31,42,2.28,2,3,2,1,2,
2026-02-23,周一,晚餐,18:00-18:30,晴,1,0,0,0,0,222,41,68,53,28,32,2.17,2,3,2,1,2,
2026-02-23,周一,晚餐,18:30-19:00,晴,1,0,0,0,0,147,28,41,35,18,25,1.97,2,3,2,1,2,
2026-02-24,周二,早餐,06:30-07:00,多云,1,0,0,0,0,85,33,12,3,10,27,1.54,2,1,0,1,2,
2026-02-24,周二,早餐,07:00-07:30,多云,1,0,0,0,0,128,46,19,4,16,43,1.94,2,1,0,1,2,
2026-02-24,周二,早餐,07:30-08:00,多云,1,0,0,0,0,133,49,21,4,15,44,2.15,2,1,0,1,2,
2026-02-24,周二,早餐,08:00-08:30,多云,1,0,0,0,0,71,26,11,2,9,23,1.35,2,1,0,1,2,
2026-02-24,周二,午餐,11:00-11:30,多云,1,0,0,0,0,164,26,66,36,23,13,2.64,2,3,2,1,1,
2026-02-24,周二,午餐,11:30-12:00,多云,1,0,0,0,0,262,41,99,55,35,32,2.86,2,3,2,1,1,
