窗口编号,窗口名称,菜品类别,平均出餐时间_秒每份,单份均价_元,单份毛利_元,半小时最大服务能力_份,标准开窗人数,推荐开放时段,历史口碑评分,备注
A1,北方面食窗口,面食类,32,10,3.2,55,2,早餐/午餐/晚餐,4.6,工作日早餐需求较高
A2,南方面食窗口,面食类,30,11,3.5,58,2,早餐/午餐/晚餐,4.4,周末需求略低
B1,快餐套餐一号,快餐套餐类,24,16,4.8,78,2,午餐/晚餐,4.3,午高峰承压明显
B2,快餐套餐二号,快餐套餐类,22,17,5.1,82,2,午餐/晚餐,4.5,出餐效率最高
B3,经济套餐窗口,快餐套餐类,26,14,4.2,72,2,午餐/晚餐,4.1,价格敏感学生较多
C1,小炒现制一号,小炒现制类,52,22,7.0,40,3,午餐/晚餐,4.7,等待时间波动较大
C2,小炒现制二号,小炒现制类,56,24,7.6,36,3,午餐/晚餐,4.5,晚餐更受欢迎
D1,轻食简餐窗口,轻食简餐类,34,18,5.9,52,2,早餐/午餐/晚餐,4.2,女生客群占比较高
E1,饮品小吃一号,饮品加小吃类,20,9,3.0,60,1,早餐/晚餐,4.0,早餐和夜间需求较高
E2,饮品小吃二号,饮品加小吃类,18,8,2.7,65,1,早餐/晚餐,3.9,周末需求较稳定
